#v1.1-loci	v2.0.0-loci
OG0011995	0359
OG0014201	0360
OG0012468	0361
OG0008310	0362
OG0007875	0363
OG0011183	0364
OG0008945	0365
OG0010758	0366
OG0012465	0367
OG0010881	0368
OG0011612	0369
OG0004135	0370
09_104	0371
OG0011332	0372
OG0011849	0373
OG0011018	0374
OG0009690	0375
OG0009886	0376
OG0007023	0377
OG0010011	0378
OG0011741	0379
OG0011575	0380
OG0009752	0381
OG0007852	0382
OG0004842	0383
OG0013766	0384
OG0007949	0385
OG0011600	0386
OG0009154	0387
OG0007505	0388
07_2165	0389
OG0005132	0390
OG0008173	0391
OG0010900	0392
OG0010485	0393
OG0011438	0394
OG0011153	0395
OG0007792	0396
03_3224	0397
OG0011121	0398
OG0012429	0399
OG0013058	0400
OG0012065	0401
OG0006019	0402
OG0012102	0403
OG0011821	0404
OG0012867	0405
OG0011806	0406
OG0010640	0407
OG0010975	0408
OG0010400	0409
OG0011779	0410
OG0007362	0411
OG0010996	0412
OG0012078	0413
OG0011061	0414
OG0011621	0415
OG0009984	0416
OG0012850	0417
OG0012584	0418
OG0011560	0419
OG0012246	0420
OG0011255	0421
OG0012516	0422
OG0011637	0423
OG0009428	0424
OG0011177	0425
OG0011401	0426
OG0012189	0427
OG0011930	0428
OG0010206	0429
OG0010251	0430
OG0007870	0431
OG0011186	0432
OG0011544	0433
OG0008915	0434
OG0012176	0435
OG0008610	0436
OG0009522	0437
OG0011416	0438
OG0010792	0439
OG0010687	0440
OG0012040	0441
OG0010329	0442
OG0006587	0443
OG0012417	0444
OG0013086	0445
OG0011446	0446
OG0012452	0447
OG0007022	0448
OG0011233	0449
OG0012841	0450
OG0011543	0451
OG0012076	0452
OG0012279	0453
OG0011756	0454
OG0011190	0455
OG0011431	0456
OG0007803	0457
OG0011658	0458
OG0011394	0459
OG0011052	0460
OG0011181	0461
OG0008401	0462
OG0009835	0463
OG0012508	0464
OG0006683	0465
OG0012140	0466
OG0007563	0467
OG0010062	0468
OG0007225	0469
OG0005319	0470
OG0011291	0471
OG0012162	0472
OG0011170	0473
OG0011417	0474
OG0012281	0475
OG0011485	0476
03_453	0477
OG0011202	0478
OG0011562	0479
OG0011488	0480
OG0011830	0481
OG0011116	0482
OG0009069	0483
OG0009015	0484
OG0009989	0485
OG0013019	0486
OG0010320	0487
OG0011189	0488
OG0009509	0489
OG0005121	0490
OG0009450	0491
OG0006058	0492
OG0013548	0493
OG0012415	0494
OG0012528	0495
OG0011777	0496
OG0012081	0497
OG0011616	0498
OG0012284	0499
OG0012498	0500
OG0011789	0501
OG0010111	0502
OG0012525	0503
OG0008108	0504
OG0011449	0505
OG0009506	0506
OG0012500	0507
OG0012090	0508
OG0004505	0509
OG0007059	0510
OG0012411	0511
OG0017503	0512
OG0012175	0513
OG0006209	0514
OG0013543	0515
OG0011023	0516
04_155	0517
OG0012041	0518
OG0009009	0519
OG0013512	0520
OG0012513	0521
OG0011769	0522
OG0007670	0523
OG0009990	0524
OG0008099	0525
OG0010576	0526
OG0008536	0527
OG0007226	0528
OG0011210	0529
OG0009695	0530
OG0013336	0531
OG0010339	0532
OG0009641	0533
OG0011727	0534
OG0009405	0535
OG0012758	0536
OG0010673	0537
OG0010261	0538
