#v1.1-loci	v2.0.0-loci
OG0013101	1560
OG0011258	1561
OG0007784	1562
OG0011135	1563
OG0010202	1564
OG0011993	1565
OG0007243	1566
OG0005742	1567
OG0011159	1568
OG0009907	1569
OG0011784	1570
OG0012477	1571
OG0011031	1572
OG0012714	1573
OG0011747	1574
OG0012062	1575
OG0010154	1576
OG0012167	1577
OG0009080	1578
OG0008360	1579
OG0007317	1580
01_1077	1581
OG0009215	1582
OG0011736	1583
OG0006700	1584
05_1956	1585
OG0010236	1586
OG0008480	1587
OG0011531	1588
OG0010785	1589
OG0006552	1590
OG0006296	1591
OG0008325	1592
OG0010116	1593
OG0010857	1594
07_1982	1595
OG0014158	1596
08_3518	1597
OG0003520	1598
OG0007661	1599
OG0004200	1600
OG0009426	1601
OG0008529	1602
OG0011713	1603
OG0007051	1604
OG0010277	1605
OG0011703	1606
OG0011807	1607
OG0005430	1608
OG0011820	1609
OG0010683	1610
09_850	1611
OG0009056	1612
04_1034	1613
09_509	1614
OG0009192	1615
OG0010268	1616
OG0010706	1617
OG0009172	1618
OG0007188	1619
OG0009288	1620
OG0012058	1621
OG0007314	1622
OG0008150	1623
OG0011770	1624
OG0009872	1625
OG0008206	1626
OG0008823	1627
05_3233	1628
OG0006945	1629
OG0002977	1630
OG0009000	1631
OG0013550	1632
OG0010257	1633
OG0011174	1634
OG0009093	1635
OG0012888	1636
OG0005230	1637
OG0010992	1638
OG0009051	1639
OG0009132	1640
OG0008557	1641
OG0004864	1642
OG0010161	1643
OG0010294	1644
OG0012627	1645
OG0010086	1646
OG0007927	1647
07_2088	1648
OG0008894	1649
OG0011593	1650
OG0012089	1651
OG0009972	1652
04_2017	1653
OG0002785	1654
OG0003997	1655
OG0008166	1656
OG0011492	1657
OG0010048	1658
OG0002880	1659
OG0004261	1660
OG0004389	1661
02_461	1662
07_1454	1663
Unassigned_787	1664
OG0006432	1665
OG0008467	1666
OG0005762	1667
OG0012472	1668
OG0012488	1669
OG0011147	1670
OG0012223	1671
OG0007537	1672
OG0008170	1673
OG0008973	1674
OG0003699	1675
OG0008828	1676
OG0006009	1677
05_1339	1678
OG0008085	1679
OG0008406	1680
05_3338	1681
01_840	1682
OG0008508	1683
OG0005281	1684
OG0011337	1685
OG0012027	1686
04_1425	1687
OG0007862	1688
OG0012731	1689
OG0006634	1690
OG0009049	1691
OG0017575	1692
OG0007695	1693
OG0010818	1694
OG0012106	1695
OG0011809	1696
OG0008945	1697
OG0010913	1698
OG0012276	1699
OG0012298	1700
OG0013349	1701
OG0014678	1702
OG0015797	1703
OG0013537	1704
OG0008203	1705
OG0017479	1706
OG0019183	1707
OG0017490	1708
OG0019043	1709
OG0019054	1710
OG0019154	1711
OG0006258	1712
OG0018994	1713
OG0009149	1714
OG0021458	1715
OG0019183	1716
OG0021409	1717
OG0017490	1718
OG0008184	1719
OG0019173	1720
OG0021482	1721
OG0019043	1722
OG0019054	1723
OG0019154	1724
OG0006258	1725
03_2189	1726
